;symbol;weight_of_black;specific_weight_of_black;center_of_gravity;norm_center_of_gravity;axial_moments_of_inertia;norm_axial_moments_of_inertia
0;0;48;0.46153846153846156;(4.5, 7.0);(0.5, 0.5);(664.0, 328.0);(2.8497854077253217, 1.407725321888412)
1;1;32;0.41025641025641024;(3.375, 7.4375);(0.475, 0.5364583333333334);(551.875, 31.5);(2.692073170731707, 0.15365853658536585)
2;2;40;0.38461538461538464;(4.675, 7.325);(0.525, 0.5270833333333333);(826.7750000000002, 154.77499999999998);(3.548390557939915, 0.6642703862660944)
3;3;38;0.4175824175824176;(4.7368421052631575, 7.131578947368421);(0.6228070175438596, 0.5109649122807017);(656.3421052631578, 143.36842105263156);(3.010743602124577, 0.6576533075808787)
4;4;40;0.3418803418803419;(5.55, 7.35);(0.56875, 0.5291666666666667);(457.09999999999997, 147.90000000000006);(1.8283999999999998, 0.5916000000000002)
5;5;37;0.4065934065934066;(4.513513513513513, 6.324324324324325);(0.5855855855855855, 0.4436936936936937);(640.1081081081084, 121.24324324324326);(2.936275725266552, 0.5561616662534095)
6;6;45;0.4326923076923077;(4.377777777777778, 7.533333333333333);(0.4825396825396826, 0.5444444444444444);(581.2, 250.57777777777778);(2.494420600858369, 1.0754411063423939)
7;7;27;0.23076923076923078;(5.407407407407407, 4.185185185185185);(0.5509259259259259, 0.2654320987654321);(386.0740740740741, 108.5185185185185);(1.5442962962962963, 0.434074074074074)
8;8;51;0.49038461538461536;(4.529411764705882, 7.078431372549019);(0.5042016806722689, 0.5065359477124183);(731.6862745098042, 270.7058823529413);(3.140284439956241, 1.1618278212572586)
9;9;45;0.4326923076923077;(4.622222222222222, 6.488888888888889);(0.5174603174603174, 0.45740740740740743);(583.2444444444445, 250.57777777777764);(2.503195040534097, 1.0754411063423932)
